Permethrin,Scabies
Sodium Polystyrene Sulfonate,Benign Essential Hypertension
Rhinocort,Allergic Rhinitis
Onglyza,Overweight
Isosorbide Mononitrate,Benign Essential Hypertension
Proventil HFA,Benign Essential Hypertension
Renvela,Vitamin D Deficiency
Nebulizer,Allergic Rhinitis
Tekturna,Hypertension
Hematogen FA,Fatigue
Alavert,Allergic Rhinitis
Claritin,Alcohol Use
Cipro HC,Otitis Media
Retin-A Micro Pump,Acne
HumaLOG KwikPen,Drug Use
Diastat,Seizure Disorder
Ketoconazole,Asthma
Meridia,Abnormal Weight Gain
Phenytoin Sodium Extended,Tobacco Use
Bicillin L-A,Acute Pharyngitis
Retrovir,General Surgery
Cerefolin,Alzheimer's Disease
HumuLIN N,Essential Hypertension
Evista,Hypothyroidism
Calcium 600 + D,Hyperlipidemia
Ranitidine HCl,Allergic Rhinitis
Isometheptene-APAP-Dichloral,Drug Use
Diltiazem HCl CR,Hypertension
Icar,Otitis Media
Tylenol Childrens,Previous Hospitalizations
Hydrocortisone Acetate,Alcohol
NIFEdipine CR Osmotic,Diabetes Mellitus
Colace,Depression
Tobi,Failure To Thrive In Childhood
LamoTRIgine,Depression
BD Lancet Ultrafine 33G,Obesity
Caduet,Coronary Artery Disease
ZyrTEC Childrens Allergy,Composition Of Household ___ Sisters
Multi-Vitamin,Essential Hypertension
Ramipril,Hypothyroidism
LaMICtal ODT,Seizure Disorder
FreeStyle System,Diabetes Mellitus Poorly Controlled
Famotidine,Diabetes Mellitus
HumaLOG Mix 75/25 KwikPen,Peripheral Neuropathy
Albustix,Living With Parents
Icar,Functional Status
DiphenhydrAMINE Cough,Atopic Disorders
Enalapril-Hydrochlorothiazide,Benign Essential Hypertension
Xyzal,Hypertension
Indomethacin,Drug Use
Ipratropium Bromide,Allergic Rhinitis
Fosamax,Hypertension
Acetaminophen-Codeine #3,Hyperlipidemia
Florastor,Diarrhea (Symptom)
Ibuprofen,Asthma
Sotalol HCl,Coronary Artery Disease
Diltiazem CD,Essential Hypertension
Treximet,Drug Use
Poly-Vi-Sol/Iron,Secondhand Tobacco Smoke In Home
Dextromethorphan-Guaifenesin,Acute Sinusitis
Minoxidil,Hypertension
Combivir,Marital History - Single
Enalapril-Hydrochlorothiazide,Diabetes Mellitus Poorly Controlled
Guaiatussin AC,Cough
BD Pen Needle Ultrafine,Diabetes Mellitus
NovoLOG Mix 70/30 FlexPen,Essential Hypertension
Lubriderm,Contact Dermatitis
Klor-Con M10,Atrial Fibrillation
Pantoprazole Sodium,Occupation:
Glimepiride,Drug Use
Hydrocortisone Acetate,Drug Use
Losartan Potassium-HCTZ,Drug Use
Lancets 30G,Dyslipidemia
HumaLOG Pen,Essential Hypertension
Tussionex Pennkinetic ER,Hypertension
Finasteride,Coronary Artery Disease
Hyzaar,Diabetes Mellitus
Poly-Vi-Flor/Iron,Previous Hospitalizations
Polymyxin B-Trimethoprim,Atopic Dermatitis
Ovcon-35 (28),Family Health Status
Ambien CR,Occupation:
Proventil HFA,Occupation:
Tylenol Cold,Cough
Ferrous Sulfate,Allergic Rhinitis
Ranitidine HCl,Asthma
Oxygen,Hysterectomy
Kro Pediatric Electrolyte,Constipation
Tylenol Childrens,Secondhand Tobacco Smoke In Home
Bethanechol Suspension,Secondhand Tobacco Smoke In Home
Niaspan,Marital History - Currently Married
Omega 3,Alcohol
NovoLIN 70/30,Essential Hypertension
Icar,Congenital Heart Disease
Errin,Gynecologic Services Contraceptive Management
Rena-Vite,Chronic Renal Failure
Carisoprodol,Depression
Saline Nasal Spray,Migraine Headache
Atrovent HFA,Congestive Heart Failure
Bicitra,End Stage Renal Disease
Liothyronine Sodium,Fatigue
Catapres-TTS-3,Type II Diabetes Mellitus
Ponstel,Bacterial Vaginosis
OneTouch FinePoint Lancets,Hyperlipidemia
Kenalog,Anemia
Tylenol,Alcohol
Colchicine,Hypertension
Enulose,Fatigue
Clarinex,Essential Hypertension
Boniva,Drug Use
Fosinopril Sodium,Hyperlipidemia
Colace,Benign Essential Hypertension
Not Currently on Medications,Allergic Rhinitis
EpiPen Jr,Eczema
Colistimethate Sodium,Immunodeficiency Disorders
Phenazopyridine HCl,Tobacco Use
Sinemet,Dementia
Levoxyl,Alcohol
Co Q 10,Hyperlipidemia
Enjuvia,Hysterectomy
Trivora (28),Routine Pelvic Exam With Cervical Pap Smear
Clindamycin Palmitate HCl,Pneumonia
GuaiFENesin,Tobacco Use
Kionex,Taking Medication For Diabetes Long-term Use Of Insulin
HalfLytely Bowel Prep,Essential Hypertension
Glimepiride,Alcohol
Metamucil,Osteoarthritis
Acetaminophen-Codeine #3,Diabetes Mellitus
Welchol,Hypertension
Kenalog,Tuberculosis
Aricept,Coronary Artery Disease
Vitamin C,Normal Routine History And Physical Geriatric (80 +)
Golytely,Occupation:
Micardis,Hypertension
Ibuprofen Childrens,Asthma
Advil,Arthritis
Keppra,Tobacco Use
Precision Xtra Blood Glucose,Type I Diabetes Mellitus
Aleve,Alcohol Use
Ativan,Depression
Fexofenadine-Pseudoephedrine,Marital History - Currently Married
Tylenol Childrens,Otitis Media
Lovaza,Benign Essential Hypertension
Isometheptene-APAP-Dichloral,Routine Pelvic Exam With Cervical Pap Smear
Tramadol-Acetaminophen,"Joint Pain, Localized In The Knee"
Ibuprofen Childrens,Dysphagia
Detrol LA,Drug Use
Xyzal,Alcohol
Adcirca,Chronic Obstructive Pulmonary Disease
Chantix Continuing Month Pak,Drug Use
LaMICtal,Alcohol
Cephalexin,Alcohol Use
Cyanocobalamin,Drug Use
Poly-Vi-Sol,Anemia
Clindamycin Palmitate HCl,Upper Respiratory Infection
HumaLOG Mix 75/25,Chronic Renal Failure
Glucophage,Drug Use
FentaNYL,Depression
Clindamycin Palmitate HCl,Preterm Infant
Janumet,Coronary Artery Disease
Rondec,Upper Respiratory Infection
Namenda,Hysterectomy
Starlix,Hyperlipidemia
Mefenamic Acid,Bacterial Vaginosis
Xyzal,Hyperlipidemia
Diphenoxylate-Atropine,Alcohol
Vitamin B-12,Hypothyroidism
Vitamin B12 TR,Depression
Calcitonin (Salmon),Osteopenia
Omega 3,Drug Use
Cyanocobalamin,Alcohol
Magic Mouthwash,Upper Respiratory Infection
Vitamin B12 TR,Osteoporosis
Flovent,History Of Prior Surgery
Betamethasone,Heart Disease
Dicyclomine HCl,Alcohol
Chantix,Hypertension
BD Ultra-Fine Lancets,Tobacco Use
PediaSure,Seizure Disorder
Mucinex,Esophageal Reflux
Ventolin HFA,Diabetes Mellitus
Famotidine,Benign Essential Hypertension
Flonase,Diabetes Mellitus
Folbic,Coronary Artery Disease
Doc-Q-Lace,Benign Essential Hypertension
Calcium + D,Normal Routine History And Physical Geriatric (80 +)
Serevent Diskus,Chronic Obstructive Pulmonary Disease
Imdur,Type II Diabetes Mellitus
Bromfed DM,Acute Sinusitis
Benicar HCT,Diabetes Mellitus
OneTouch Test,Benign Essential Hypertension
Ranexa,Congestive Heart Failure
Penicillin V Potassium,Tobacco Use
Cheratussin AC,Esophageal Reflux
Calcium,Alcohol Use
Gris-PEG,Asthma
Mobic,Hysterectomy
Hydromet,Cough
Pulmicort,Secondhand Tobacco Smoke In Home
Zemplar,Type II Diabetes Mellitus
NovoLIN N,Hypertension
Spiriva HandiHaler,Tobacco Use
Chantix,Alcohol
Guaifen PSE,Cervicalgia
Procrit,Coronary Artery Disease
Combivent,Diabetes Mellitus
Terconazole,Alcohol
Cardura,Diabetes Mellitus Poorly Controlled
Antipyrine-Benzocaine,Acute Pharyngitis
Nutraderm,Preterm Infant
HumaLOG Pen,Hyperlipidemia
Avelox,Diabetes Mellitus
Byetta 5 MCG Pen,Coronary Artery Disease
Altace,Alcohol
Guiatuss AC,Allergic Rhinitis
Calmoseptine,Congenital Heart Disease
Multi-Day Vitamins,Tobacco Use
Klor-Con M20,Tobacco Use
PrednisoLONE,Anemia
Clindamycin Phosphate,Tobacco Use
Lotrel,Hysterectomy
Doxycycline Hyclate,Hyperlipidemia
Trilipix,Benign Essential Hypertension
Polymyxin B-Trimethoprim,Oncologic Disorder
Poly-Vi-Sol,Constipation
Loestrin 24 Fe,Drug Use
Atripla,Alcohol
CitraNatal 90 DHA,Tobacco Use
Epzicom,Drug Use
Potassium Chloride,Normal Routine History And Physical Geriatric (80 +)
Tacrolimus,Proteinuria
VESIcare,Esophageal Reflux
Tobi,Tonsillar And Adenoid Hypertrophy
Nortriptyline HCl,Hypertension
Trivora (28),Gynecologic Services Contraceptive Management
NitroQuick,Benign Essential Hypertension
Venlafaxine HCl,Hysterectomy
Bumetanide,Diabetes Mellitus Poorly Controlled
Glucophage,Alcohol
Wellbutrin XL,Alcohol
Prandin,Essential Hypertension
BenzaClin with Pump,Acne
Aldactone,Coronary Artery Disease
Docusate Sodium,Normal Routine History And Physical Geriatric (80 +)
Renagel,Diabetes Mellitus
Vitamin D (Ergocalciferol),Never Smoked
Accu-Chek Advantage Test,Type II Diabetes Mellitus
Lancets Thin,Type II Diabetes Mellitus
Microgestin FE 1/20,Family Health Status
Avapro,Drug Use
Actonel,Esophageal Reflux
VESIcare,Hypothyroidism
Vitamin D (Ergocalciferol),Depression
Alphagan P,Hyperlipidemia
Dexamethasone,Hypothyroidism
Alphagan P,Benign Essential Hypertension
BD Pen Needle Mini U/F,Vitamin D Deficiency
Pravachol,Type II Diabetes Mellitus
Pulmicort,Allergies
Speech Therapy,Delayed Developmental Milestones
Terbinafine HCl,Hypertension
Cefadroxil,Arthritis
Boniva,Hypertension
HumaLOG,Tobacco Use
Lanoxin,Hyperlipidemia
Requip,Depression
Cheratussin AC,Occupation:
Glimepiride,Coronary Artery Disease
Ferralet 90,Bacterial Vaginosis
Plan B,Routine Pelvic Exam With Cervical Pap Smear
Lancets,Essential Hypertension
Omacor,Essential Hypertension
Xyzal,Tobacco Use
Carvedilol,Alcohol Use
Gris-PEG,Upper Respiratory Infection
Stadol NS,Migraine Headache
Bactrim DS,Tobacco Use
Meclizine HCl,Hypothyroidism
Griseofulvin Ultramicrosize,General Surgery
BD Pen,Vitamin D Deficiency
Lutera,Surgery
Avelox,Asthma
HumaLOG Mix 75/25,Diabetes Mellitus
Norvir,Exercising Regularly
Sanctura XR,Dementia
Ascensia Contour Test,Diabetes Mellitus
Insulin Syringe,Hypothyroidism
OneTouch Lancets,Essential Hypertension
Mucinex,Benign Essential Hypertension
Lactulose,Benign Essential Hypertension
Tamsulosin HCl,Esophageal Reflux
Not Currently on Medications,Stroke Syndrome
Wellbutrin XL,Essential Hypertension
Arava,Osteoporosis
Zostavax,Hyperlipidemia
Clindamycin Palmitate HCl,Tonsillar And Adenoid Hypertrophy
Tussionex Pennkinetic ER,Esophageal Reflux
Methimazole,Hypothyroidism
Aciphex,Hyperlipidemia
Ultram,Depression
ValACYclovir HCl,Breast Cancer
Allegra-D 24 Hour,Hyperlipidemia
Iron,Diabetes Mellitus
Biaxin XL,Acute Pharyngitis
Vitamin D (Ergocalciferol),Tobacco Use
HumaLOG Mix 75/25,Hyperlipidemia
Temazepam,Alcohol
Pred Forte,Glaucoma
Meclizine HCl,Alcohol Use
Chlorzoxazone,Insomnia
Promethazine HCl,Occupation:
Accupril,Type II Diabetes Mellitus
Levemir FlexPen,Hysterectomy
Claritin,Esophageal Reflux
HydrALAZINE HCl,Stroke Syndrome
Ergocalciferol,Coronary Artery Disease
Effexor XR,Hypothyroidism
Demadex,Congestive Heart Failure
Folbee,Hyperlipidemia
Nifedical XL,Essential Hypertension
Polyvitamin/Iron,Secondhand Tobacco Smoke In Home
NovoLIN R,Benign Essential Hypertension
Novolin L,Type I Diabetes Mellitus
Rozerem,Depression
Phenergan,Migraine Headache
Onglyza,Coronary Artery Bypass Graft (CABG)
Levitra,Coronary Artery Disease
Diovan 320/25 CAPS,Type II Diabetes Mellitus
Guaifenesin AC,Fatigue
Oxygen,Alcohol
Accu-Chek Compact,Essential Hypertension
ZyrTEC Childrens Allergy,Tonsillar And Adenoid Hypertrophy
Viagra,Allergic Rhinitis
Foradil Aerolizer,Chronic Obstructive Pulmonary Disease
Oxygen,Depression
Prevpac,Benign Essential Hypertension
Exelon,Depression
HumaLOG KwikPen,Exercising Regularly
Levoxyl,Hypertension
Amaryl,Obesity
Isosorbide Dinitrate,Tobacco Use
Griseofulvin Ultramicrosize,Sickle Cell Abnormality
Cardura,Hyperlipidemia
Cefadroxil,Drug Use
Ketek,Acute Sinusitis
Nizatidine,Esophageal Reflux
Tylenol Extra Strength,Depression
Derma-Smoothe/FS Scalp,Psoriasis
Amoxil,Allergic Rhinitis
Dilantin,Heart Disease
Oscal 500/200 D-3,Hypothyroidism
Dicyclomine HCl,Esophageal Reflux
Boniva,Essential Hypertension
BiDil,Coronary Artery Disease
PriLOSEC,Alcohol Use
Cartia XT,Atrial Fibrillation
Cetirizine HCl Childrens,Secondhand Tobacco Smoke In Home
Ipratropium Bromide,Hyperlipidemia
Isosorbide Dinitrate,Normal Routine History And Physical Geriatric (80 +)
Levitra,Essential Hypertension
Cardizem CD,Essential Hypertension
Isosorbide Dinitrate,Drug Use
Milk of Magnesia,Dementia
Clotrimazole,Esophageal Reflux
Klor-Con M20,Alcohol
Verapamil HCl CR,Alcohol
Losartan Potassium-HCTZ,Allergic Rhinitis
Syringe,Sleep Apnea
Proventil HFA,Hyperlipidemia
PediaSure/Fiber,Constipation
Imiquimod,Bacterial Vaginosis
Avandia,Benign Essential Hypertension
Augmentin,Allergic Rhinitis
Glucagon Emergency,Hypothyroidism
Klor-Con,Essential Hypertension
SEROquel,Tobacco Use
Imdur,Previous History Of Smoking
Peridex,Cancer
Calmoseptine,Constipation
Januvia,Drug Use
Fenofibrate,Insomnia
Isosorbide Mononitrate,Hypertension
PrimaCare,Vaginitis
Mupirocin,Hyperlipidemia
Doxycycline Hyclate,Hypertension
BD Ultra-Fine Needles 31 guage,Hyperlipidemia
Blood Pressure Monitor/L Cuff,Type II Diabetes Mellitus
Triamterene-HCTZ,Coronary Artery Disease
Aspir-81,Stroke Syndrome
FLUoxetine HCl,Hyperlipidemia
Ascensia Contour Test,Essential Hypertension
HalfLytely Bowel Prep,Hyperlipidemia
RisperiDONE,Depression
Nicotine,Coronary Artery Disease
Hectorol,Type II Diabetes Mellitus
Victoza,Drug Use
Fexofenadine-Pseudoephedrine,Acute Upper Respiratory Infection
Guaifenesin-Codeine,Esophageal Reflux
Amrix,Allergic Rhinitis
Hematogen FA,Anemia
MyKidz Iron 10,Anemia
Benicar,Stroke Syndrome
Diastat Pediatric,Esophageal Reflux
Ergocalciferol,Depression
Reyataz,Tobacco Use
Pulmicort,Alcohol Use
Flexeril,Esophageal Reflux
Loestrin 24 Fe,Alcohol
Nasacort AQ,Asthma
Diphenoxylate-Atropine,Tobacco Use
Demadex,Coronary Artery Bypass Graft (CABG)
Coreg CR,Hyperlipidemia
Cyanocobalamin,Normal Routine History And Physical Geriatric (80 +)
Xalatan,Drug Use
Cipro,Hypertension
Precision Xtra Blood Glucose,Type II Diabetes Mellitus
Lubriderm,Currently In School Having Difficulty
Cartia XT,Essential Hypertension
Ultram,Tobacco Use
Aspirin EC,Drug Use
Gris-PEG,Otitis Media
Detrol LA,Hypertension
Lovastatin,Diabetes Mellitus
Temazepam,Drug Use
Lovastatin,Alcohol
Ventolin HFA,Tobacco Use
HumaLOG,Drug Use
MedroxyPROGESTERone Acetate,Alcohol
Maxalt,Tobacco Use
HumuLIN 70/30 Pen,Diabetes Mellitus Poorly Controlled
Cleocin,Asthma
Saline,Stroke Syndrome
Astelin,Hyperlipidemia
Cilostazol,Benign Essential Hypertension
Skelaxin,Hyperlipidemia
Fluocinonide,Hypertension
Indocin,Gout
Clopidogrel Bisulfate,Congestive Heart Failure
Singulair,Alcohol
Megace ES,Fatigue
Oscal 500/200 D-3,Essential Hypertension
Ocella,Routine Pelvic Exam With Cervical Pap Smear
Triamterene-HCTZ,Esophageal Reflux
Rapamune,Essential Hypertension
Claritin Reditabs,Atopic Disorders
Azopt,Normal Routine History And Physical Geriatric (80 +)
Omega 3,Hypothyroidism
Guaifenesin AC,Benign Essential Hypertension
Topamax,Hypertension
Diphenoxylate-Atropine,Drug Use
Magnesium,Hyperlipidemia
Cetirizine HCl Childrens,Eczema
Rondec,Acute Bronchitis
PediaSure/Fiber,Esophageal Reflux
Aldactone,Previous History Of Smoking
Glucosamine Chondroitin,Alcohol Use
Losartan Potassium,Depression
Nasacort AQ,Benign Essential Hypertension
Magic Mouthwash,Fatigue
Amlodipine Besy-Benazepril HCl,Diabetes Mellitus
Folic Acid,Diabetes Mellitus
Nitrostat,Never Smoked
Aspirin EC,Benign Essential Hypertension
Tracleer,Chronic Obstructive Pulmonary Disease
Tramadol-Acetaminophen,Hysterectomy
Zestril,Benign Essential Hypertension
Donepezil HCl,Benign Essential Hypertension
Acetaminophen-Codeine #3,Alcohol Use
Lunesta,Hypothyroidism
Acetaminophen-Codeine #3,Allergic Rhinitis
Ibuprofen Childrens,Diarrhea (Symptom)
Trilipix,Diabetes Mellitus
Sinus Rinse Bottle Kit,Gastritis
Accolate,Chronic Obstructive Pulmonary Disease
Vytorin,Alcohol Use
BD Pen Needle Mini U/F,Essential Hypertension
Ammonium Lactate,Allergic Rhinitis
Hectorol,Hyperlipidemia
Fexofenadine-Pseudoephedrine,Vitamin D Deficiency
Oxygen,Drug Use
Cefdinir,Diabetes Mellitus
Fosamax,Drug Use
Sulfazine EC,Rheumatoid Arthritis
Avandamet,Diabetes Mellitus
Mucinex,Depression
Creon,Failure To Thrive In Childhood
DME,Benign Essential Hypertension
Diltiazem HCl CR,Essential Hypertension
Klor-Con 10,Hypothyroidism
Aspir-81,Diabetes Mellitus
Coreg CR,Coronary Artery Disease
PARoxetine HCl,Diabetes Mellitus
GuaiFENesin AC,Alcohol
Levothroid,Tobacco Use
BD Insulin Syringe Ultrafine,Coronary Artery Disease
Childrens Loratadine,Allergic Rhinitis
Levitra,Tobacco Use
Acetamin,Alzheimer's Disease
Truvada,Allergic Rhinitis
Welchol,Type II Diabetes Mellitus
BiDil,Peripheral Vascular Disease
Oscal 500/200 D-3,Normal Routine History And Physical Geriatric (80 +)
Revatio,Atrial Fibrillation
HumaLOG,Hypertension
Kenalog,General Surgery
Glucosamine,Hyperlipidemia
CeleBREX,Alcohol Use
Caduet,Hypertension
K-Dur,Atrial Fibrillation
Carbidopa-Levodopa,Heart Disease
Detrol LA,Tobacco Use
Ranitidine HCl,Hypertension
Alphagan P,Hysterectomy
HumaLOG KwikPen,Coronary Artery Disease
K-Dur,Hyperlipidemia
Prandin,Hyperlipidemia
Vitamin D (Ergocalciferol),Diabetes Mellitus
Iron Supplement,Anemia
HalfLytely with Flavor Packs,Benign Essential Hypertension
Glucotrol,Diabetes Mellitus
MoviPrep,Hyperlipidemia
Lescol XL,Hyperlipidemia
Accu-Chek Multiclix Lancets,Benign Essential Hypertension
Dicyclomine HCl,Depression
Klor-Con 10,Hysterectomy
Labetalol HCl,Hyperlipidemia
Tylenol Childrens,Allergies
Ondansetron HCl,Alcohol
Levothroid,Drug Use
Torsemide,Essential Hypertension
ZyrTEC Childrens Allergy,Eczema
Transderm-Scop,Tobacco Use
BD Pen,Reported Family History Ischemic Heart Disease Before Age 50
Aciphex,Essential Hypertension
Sodium Polystyrene Sulfonate,Essential Hypertension
Lunesta,Hypertension
PriLOSEC OTC,Tobacco Use
Avelox,Hypothyroidism
Amoclan,Secondhand Tobacco Smoke In Home
Alinia,Diarrhea (Symptom)
Climara,Hysterectomy
Augmentin,History Of Prior Surgery
Hydrocod Polst-Chlorphen Polst,Exercising Regularly
Metoclopramide HCl,Allergic Rhinitis
Combivent,Allergic Rhinitis
HalfLytely Bowel Prep,Tobacco Use
DiphenhydrAMINE Cough,Upper Respiratory Infection
Atripla,Tobacco Use
Benadryl,Allergic Rhinitis
ClonazePAM ODT,Seizure Disorder
Erythromycin,Allergic Rhinitis
BD Insulin Syringe,Benign Essential Hypertension
Ipratropium Bromide,Hypertension
Kaletra,Occupation:
Micardis,Hyperlipidemia
Ventolin HFA,Alcohol
Prezista,Diarrhea (Symptom)
Astepro,Allergies
HalfLytely with Flavor Packs,Hyperlipidemia
Procrit,Hyperlipidemia
Accu-Chek Compact,Hyperlipidemia
Clarithromycin,Asthma
Avalide,Alcohol
MetroNIDAZOLE,Hyperlipidemia
Tamsulosin HCl,Benign Essential Hypertension
Guaifenesin-DM,Insomnia
Avelox,Esophageal Reflux
SUMAtriptan Succinate,Depression
Zithromax Z-Pak,Hyperlipidemia
Accu-Chek Compact Test Drum,Hyperlipidemia
Namenda,Heart Disease
Victoza,Alcohol
Potassium Chloride,Hypothyroidism
Famotidine,Allergic Rhinitis
NovoLIN 70/30,Obesity
Bactrim DS,Drug Use
Tylenol Childrens,Delayed Developmental Milestones
DME,Limb Pain
Lancets 30G,Diabetes Mellitus
Flaxseed Oil,Hyperlipidemia
Temazepam,Benign Essential Hypertension
Regranex,Diabetes Mellitus Poorly Controlled
Baby Aspirin,Heart Disease
Losartan Potassium,Normal Routine History And Physical Geriatric (80 +)
ZyrTEC Childrens Allergy,Recent Ear Infection
Antara,Insomnia
Glucotrol,Hyperlipidemia
Zemplar,Hypertension
Klor-Con 10,Diabetes Mellitus
DiphenhydrAMINE Cough,Previous Hospitalizations
Methocarbamol,Diabetes Mellitus
Acetaminophen,Allergic Rhinitis
Lunesta,Benign Essential Hypertension
EpiPen Jr 2-Pak,Allergic Rhinitis
Levora 0.15/30 (28),Breast Cancer
Armour Thyroid,Alcohol Use
Glucometer Elite Classic,Diabetes Mellitus Poorly Controlled
Lancets Fine 28G,Diabetes Mellitus Poorly Controlled
ZyrTEC Childrens Allergy,Reaction To Anesthetics
Nasacort AQ,Essential Hypertension
OB Complete,Urinary Tract Infection
Tev-Tropin,Reported Family History Of Genetic Disease
Darvocet-N 100,Tobacco Use
Lancets Super Thin,Benign Essential Hypertension
Vitamin D (Ergocalciferol),Alcohol
